"filename", "language", "Properties", "Ignore", "JavaScript", "JSON", "Markdown", "HTML", "Pug", "Vue", "CSS", "Stylus", "comment", "blank", "total"
"c:\Users\sssss\Desktop\theEyes\the-eye\.postcssrc.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 2, 11
"c:\Users\sssss\Desktop\theEyes\the-eye\README.md", "Markdown", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 8, 22
"c:\Users\sssss\Desktop\theEyes\the-eye\build\build.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42
"c:\Users\sssss\Desktop\theEyes\the-eye\build\check-versions.js", "JavaScript", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 10, 55
"c:\Users\sssss\Desktop\theEyes\the-eye\build\utils.js", "JavaScript", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 5, 17, 102
"c:\Users\sssss\Desktop\theEyes\the-eye\build\vue-loader.conf.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\sssss\Desktop\theEyes\the-eye\build\webpack.base.conf.js", "JavaScript", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 4, 4, 93
"c:\Users\sssss\Desktop\theEyes\the-eye\build\webpack.dev.conf.js", "JavaScript", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 7, 7, 96
"c:\Users\sssss\Desktop\theEyes\the-eye\build\webpack.prod.conf.js", "JavaScript", 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 24, 8, 146
"c:\Users\sssss\Desktop\theEyes\the-eye\config\dev.env.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\sssss\Desktop\theEyes\the-eye\config\index.js", "JavaScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 30, 16, 86
"c:\Users\sssss\Desktop\theEyes\the-eye\config\prod.env.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\sssss\Desktop\theEyes\the-eye\index.html", "HTML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 1, 13
"c:\Users\sssss\Desktop\theEyes\the-eye\package-lock.json", "JSON", 0, 0, 0, 12991, 0, 0, 0, 0, 0, 0, 0, 1, 12992
"c:\Users\sssss\Desktop\theEyes\the-eye\package.json", "JSON", 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 1, 79
"c:\Users\sssss\Desktop\theEyes\the-eye\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 3, 23
"c:\Users\sssss\Desktop\theEyes\the-eye\src\assets\css\index.styl", "Stylus", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 4
"c:\Users\sssss\Desktop\theEyes\the-eye\src\brand-predict\.cache\17\ca381bf4190de45f65d3e2c2a620c0.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sssss\Desktop\theEyes\the-eye\src\brand-predict\.cache\1a\fbffac8ff9e3abfd8e3b0fe7e6de05.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
